obs,pre,filename,study,split
4,6,t9-20221206-0928_jpg.rf.c4bc2ed8eee6697ce15ca6cb0b0d6be2,s1,test_a01
2,4,t9-20221206-0958_jpg.rf.d12e0c98adb468ecc32759510b6a3e03,s1,test_a01
4,7,t9-20221206-1028_jpg.rf.7eeb56797853c23fefbcf949306c9c7d,s1,test_a01
1,3,t9-20221206-1058_jpg.rf.153c5dfb59cd04fe968149800fb717b6,s1,test_a01
1,2,t9-20221206-1128_jpg.rf.7738e0027f14bfe11538cc3d6c694634,s1,test_a01
3,5,t9-20221206-1158_jpg.rf.7aa7da9a3e5b54cf09e384965a0a37e7,s1,test_a01
0,2,t9-20221206-1228_jpg.rf.db5b5d079a9ee7af72fb340b073137d1,s1,test_a01
3,5,t9-20221206-1258_jpg.rf.1ff33d29530473522ffe8bfde4cac500,s1,test_a01
3,3,t9-20221206-1328_jpg.rf.f3b783ac0fa85e1f2359f4529e3d75ed,s1,test_a01
4,4,t9-20221206-1358_jpg.rf.c6d27de571ead79d0b8b0a09ed41c3ac,s1,test_a01
3,3,t9-20221206-1435_jpg.rf.5da60e076bd3814f7c38e9eac02c638e,s1,test_a01
4,5,t9-20221206-1505_jpg.rf.2a496f6757e8f48efadda57466dddb90,s1,test_a01
6,8,t9-20221206-1535_jpg.rf.2d23343a823edc2b4bb335082a55e38f,s1,test_a01
2,3,t9-20221206-1605_jpg.rf.4fa5e7f521d44fef1c3110d79075b60e,s1,test_a01
3,4,t9-20221206-1635_jpg.rf.742076c9730a14c76626e0b7f4059f64,s1,test_a01
5,6,t9-20221206-1705_jpg.rf.61626d1aeafb481223e05f75d0401cdd,s1,test_a01
4,5,t9-20221206-1735_jpg.rf.d820eaaa81620f7b1a74b0ba32fd62c0,s1,test_a01
4,5,t9-20221206-1805_jpg.rf.c8d1ae63d1ac94ff07e13fae76603fe2,s1,test_a01
1,2,t9-20221206-1835_jpg.rf.a3945191cb4e2072298b709517c90a10,s1,test_a01
4,5,t9-20221206-1905_jpg.rf.be14ff76a2191c15bd29cfb5a084dc9b,s1,test_a01
5,6,t9-20221206-1935_jpg.rf.5a343d75f39a666b414e3e00b42ed1d7,s1,test_a01
6,7,t9-20221206-2005_jpg.rf.0c2f9345558661e3cd881bdb787a4f54,s1,test_a01
6,7,t9-20221206-2035_jpg.rf.013898a1e7966dd65f0ab00f354c14c0,s1,test_a01
4,5,t9-20221206-2105_jpg.rf.136170b38c3d447ea0025de0a8f11810,s1,test_a01
2,6,t9-20221206-2135_jpg.rf.b3412e1d49aa06bed317c25423a8b6f2,s1,test_a01
2,3,t9-20221206-2205_jpg.rf.b5b8dbe0dcb2a27e05991d8bef715c52,s1,test_a01
5,8,t9-20221206-2235_jpg.rf.b3bca7029a81923ba7cfd746a5b17f3c,s1,test_a01
5,6,t9-20221206-2305_jpg.rf.736fc1f7c417367797479425835afc58,s1,test_a01
2,3,t9-20221206-2335_jpg.rf.00acd93fb167454cb6c83b59aa11813c,s1,test_a01
6,8,t9-20221207-0005_jpg.rf.6644df4cce21964676417631353fe9f9,s1,test_a01
5,7,t9-20221207-0035_jpg.rf.27b14b6dce4229ed509835c8f7c55fd4,s1,test_a01
5,6,t9-20221207-0105_jpg.rf.777d37e2af7f60e68a00685e72401a3f,s1,test_a01
1,2,t9-20221207-0135_jpg.rf.7f5c31293391caaae4247caf31b63d22,s1,test_a01
1,2,t9-20221207-0205_jpg.rf.7ba7a0acff8fe29e3b71236434fdb155,s1,test_a01
1,3,t9-20221207-0235_jpg.rf.a9a84adc85dfa0c77ff493fe53d36e0e,s1,test_a01
0,1,t9-20221207-0305_jpg.rf.1bbb0f66c65f61bb13c51f2c7002e862,s1,test_a01
4,5,t9-20221207-0335_jpg.rf.3bd39f85a34279f9dab10fbf52d6cc24,s1,test_a01
1,2,t9-20221207-0405_jpg.rf.0dcc80c060ecba3384c8b4d357148a97,s1,test_a01
2,3,t9-20221207-0435_jpg.rf.0a239c22a5d42bab73ee2f456a4a5879,s1,test_a01
3,4,t9-20221207-0505_jpg.rf.5178af36fbf2bc087c8eacaa5e6d903c,s1,test_a01
1,3,t9-20221207-0535_jpg.rf.fb0a86c1523a5baa44e3d9f9a11c9e7c,s1,test_a01
1,2,t9-20221207-0605_jpg.rf.49043804434443e4dc51f21f5e9e4863,s1,test_a01
5,6,t9-20221207-0635_jpg.rf.f869d9048dd7e174a7c15a5c9a7f5bea,s1,test_a01
2,3,t9-20221207-0705_jpg.rf.8eed0916505fee43fb95528bbce71734,s1,test_a01
0,5,t9-20221207-0735_jpg.rf.568f02ea7b01fe164bb569e89478225f,s1,test_a01
1,2,t9-20221207-0805_jpg.rf.2b19ac6b2f570bf4dd1a183d7b681e3a,s1,test_a01
4,5,t9-20221207-0835_jpg.rf.fad556bbd850e61e5cdf389da367c104,s1,test_a01
2,3,t9-20221207-0905_jpg.rf.efed9f43a47a5e1bf423308129530ca4,s1,test_a01
3,4,t9-20221207-0935_jpg.rf.830cec996abc5a4e51b519f0841a7230,s1,test_a01
3,4,t9-20221207-1005_jpg.rf.f563964c477709c870285ac09ffa8b05,s1,test_a01
2,4,t9-20221207-1035_jpg.rf.d4cf5c1672696d724ccc920a091ffd0e,s1,test_a01
3,4,t9-20221207-1105_jpg.rf.d9bdbdd90f9f7f14bf1746631654e803,s1,test_a01
3,4,t9-20221207-1135_jpg.rf.d3d3551768b4bf1c362296f33bc13fd1,s1,test_a01
1,1,t9-20221207-1205_jpg.rf.c72584ad67f313dbcf6306f4bb3780d9,s1,test_a01
2,3,t9-20221207-1235_jpg.rf.c9b92f993f053dd68fb6075692299ea0,s1,test_a01
0,1,t9-20221207-1305_jpg.rf.8f19bb5d7eb1efbbc01b7ea52b0d3208,s1,test_a01
1,1,t9-20221207-1335_jpg.rf.35a7549611222703a3ac5de0f8468f9a,s1,test_a01
1,1,t9-20221207-1405_jpg.rf.52f23881cedfe3d73944648c55a6c699,s1,test_a01
0,1,t9-20221207-1435_jpg.rf.762ab820747e992bbe5e0b30381c7954,s1,test_a01
1,2,t9-20221207-1505_jpg.rf.52570dd701ec6c083f6cccc8612d933f,s1,test_a01
1,4,t9-20221207-1535_jpg.rf.58571c90f593dfd6dfc14e082c870e57,s1,test_a01
2,2,t9-20221207-1605_jpg.rf.ee8526db01bbc7b27fa0deb54cba273a,s1,test_a01
0,2,t9-20221207-1635_jpg.rf.4dfaea53f2755ae43080d94007b89a0d,s1,test_a01
1,1,t9-20221207-1705_jpg.rf.43d59f8cc6bb6d59985540c8741a0c09,s1,test_a01
2,3,t9-20221207-1735_jpg.rf.22eb4d7741d5113ae5b61540f26d4086,s1,test_a01
1,2,t9-20221207-1805_jpg.rf.1810514ecc6e617bde7fbe606a61da5a,s1,test_a01
0,3,t9-20221207-1835_jpg.rf.a47c49e17db4571f302bfd9a1f656635,s1,test_a01
0,2,t9-20221207-1905_jpg.rf.be49ed6a8e1a2ea19767444db1e6155f,s1,test_a01
2,5,t9-20221207-1935_jpg.rf.65acb6fd711d2a5d21c513d45356d1d0,s1,test_a01
1,2,t9-20221207-2005_jpg.rf.e3e06e06f05e07e8a3e3f43471dda492,s1,test_a01
0,2,t9-20221207-2035_jpg.rf.72afe8ffda1668150246f576027ab4f2,s1,test_a01
0,3,t9-20221207-2105_jpg.rf.3ea5fbaa5963a00f3e25667ad57fbefc,s1,test_a01
0,2,t9-20221207-2135_jpg.rf.97c717eb490fbdcd951d2dd28b00f756,s1,test_a01
1,2,t9-20221207-2205_jpg.rf.0c436c513c31d2a9151d73c877be5ffb,s1,test_a01
0,2,t9-20221207-2235_jpg.rf.5d9b1d752670c527cd573d92be603b29,s1,test_a01
1,1,t9-20221207-2305_jpg.rf.b732b475b6edab946627312537ed519d,s1,test_a01
0,1,t9-20221207-2335_jpg.rf.6790d665cf8face0b1bed4474b61c3f5,s1,test_a01
2,2,t9-20221208-0005_jpg.rf.bdf6688c832d47278c6b231b2bdae159,s1,test_a01
0,1,t9-20221208-0035_jpg.rf.498739d896e136b686fb6bf2dae20073,s1,test_a01
0,1,t9-20221208-0105_jpg.rf.28888e68e1aedcd98de8e6cd6b3f45d0,s1,test_a01
0,2,t9-20221208-0135_jpg.rf.797c56d88b0106f9a6ff1e206f7cd12c,s1,test_a01
1,1,t9-20221208-0205_jpg.rf.52f34677ffbde072003503850f6a54db,s1,test_a01
0,1,t9-20221208-0235_jpg.rf.e85903544469509a60383e1dca908751,s1,test_a01
0,1,t9-20221208-0305_jpg.rf.ce366e9df48b5cc5711887a3bf9ab883,s1,test_a01
1,2,t9-20221208-0335_jpg.rf.c3d5d13dd2d02dfa61d8c2c456424aa4,s1,test_a01
2,2,t9-20221208-0405_jpg.rf.7ef118c01861acfb085b1f8d0a62fd06,s1,test_a01
1,2,t9-20221208-0435_jpg.rf.27e317ccedb12157dec676229bf47bf9,s1,test_a01
0,2,t9-20221208-0505_jpg.rf.dcc3111e5b6f2460be47dafcec5711b0,s1,test_a01
0,3,t9-20221208-0535_jpg.rf.a529aa3522738b0adf0b00043aad0121,s1,test_a01
1,2,t9-20221208-0605_jpg.rf.185c4c6bf6b04bb593d4ea10a2e7fc62,s1,test_a01
0,2,t9-20221208-0635_jpg.rf.cef905e5aa4bcf73b23145408019b70e,s1,test_a01
0,2,t9-20221208-0705_jpg.rf.48a72fb603fbc51fa63a47c2026668e5,s1,test_a01
0,2,t9-20221208-0735_jpg.rf.811c0b9bf5948bff08bd8b8e394a6f5b,s1,test_a01
1,3,t9-20221208-0805_jpg.rf.043fb493b479b000396f8c0991c311d3,s1,test_a01
3,3,t9-20221208-0835_jpg.rf.cbe83dca39c064a2f35ff7733d3d3937,s1,test_a01
1,1,t9-20221208-0905_jpg.rf.b0e38dffc5f220a951094c249094b4ac,s1,test_a01
1,2,t9-20221208-0935_jpg.rf.34ced9f362fb4a5b8dc2728bbff39770,s1,test_a01
0,1,t9-20221208-1005_jpg.rf.905496ba5c0e1399bd56e9d124d495fa,s1,test_a01
1,3,t9-20221208-1035_jpg.rf.fced5d1cd00325f40671a4111e677003,s1,test_a01
0,1,t9-20221208-1105_jpg.rf.0a98e889d01f08f16439d8b742578283,s1,test_a01
1,2,t9-20221208-1135_jpg.rf.0290b68b80ba86410fcd50f409537d52,s1,test_a01
0,2,t9-20221208-1205_jpg.rf.8c4bd338cfe971259d3a183431c400b4,s1,test_a01
0,2,t9-20221208-1235_jpg.rf.fad1521c67a039e3a04f52f06c4fc1b4,s1,test_a01
0,2,t7-20221222-0807_jpg.rf.1e730d81c194587e72383d13d9e78bb6,s1,test_a02
18,21,t7-20221222-0837_jpg.rf.e2e13034fca733f6af55ace27e61f664,s1,test_a02
17,22,t7-20221222-0907_jpg.rf.c1a0dbf711cb29b04446701d30828fff,s1,test_a02
25,30,t7-20221222-0937_jpg.rf.c49bb0ac9d04df399194dc3049b0749b,s1,test_a02
24,27,t7-20221222-1007_jpg.rf.67e1ec4005f0afebade11a2a70f5720d,s1,test_a02
12,15,t7-20221222-1037_jpg.rf.c94a8ddff2702459c4d64ad3858b3a30,s1,test_a02
9,11,t7-20221222-1107_jpg.rf.04f11d4e5ad04dc39c6cccc16ce51182,s1,test_a02
10,11,t7-20221222-1137_jpg.rf.cd2f5fbdc2878b5d5fb9a760023b44f9,s1,test_a02
8,12,t7-20221222-1207_jpg.rf.f4beb08c448617c58f371abc74ea47c9,s1,test_a02
10,13,t7-20221222-1237_jpg.rf.04a274d988f80d8d0ff6d3d6c92f699d,s1,test_a02
9,12,t7-20221222-1307_jpg.rf.f8e79c3af00abed772488ede91b89612,s1,test_a02
0,1,t7-20221222-1337_jpg.rf.81a61bafc39db4359a6259a86185ec97,s1,test_a02
6,9,t7-20221222-1407_jpg.rf.46e65302a0ad76e1153017ddd02b8447,s1,test_a02
5,7,t7-20221222-1437_jpg.rf.1e158fe23ee48ec6555d2d3c7762a026,s1,test_a02
7,8,t7-20221222-1507_jpg.rf.e1ab4f7cba4d0a29577dd90bfc204627,s1,test_a02
2,7,t7-20221222-1537_jpg.rf.652baa7842e985e2d9806a74ddeb95b4,s1,test_a02
4,6,t7-20221222-1607_jpg.rf.2aa5e68c206191d9230a16b8b27f1edb,s1,test_a02
2,4,t7-20221222-1637_jpg.rf.b0363244fd4273a163f329dc1cf1549d,s1,test_a02
2,3,t7-20221222-1707_jpg.rf.0b4d58aad6342b3b401d8ece1ded906c,s1,test_a02
1,3,t7-20221222-1737_jpg.rf.3b1f4569d28d3dc2294bc37fad904a85,s1,test_a02
4,7,t7-20221222-1807_jpg.rf.3b3168e90f99c3e56ee794542d8e4b7d,s1,test_a02
3,6,t7-20221222-1837_jpg.rf.878102d8d8445e121d22762fb7952cef,s1,test_a02
4,5,t7-20221222-1907_jpg.rf.c7e9406424a44c7592e01aeb259a13a4,s1,test_a02
2,3,t7-20221222-1937_jpg.rf.af71b0438d2ea190aacadd0bc63607f9,s1,test_a02
1,4,t7-20221222-2007_jpg.rf.223203984ee4c437549e6944b386d6b7,s1,test_a02
4,7,t7-20221222-2037_jpg.rf.b83f9d50b70feb37d31e8adc3cb3f51f,s1,test_a02
3,7,t7-20221222-2107_jpg.rf.f885c816f58bba63e6663ac8ee7f87a2,s1,test_a02
0,1,t7-20221222-2137_jpg.rf.82ed1a3d06cfb1535f90c1858f6df2d2,s1,test_a02
1,2,t7-20221222-2207_jpg.rf.9641f15ab1538812d1a22ffdffb059bb,s1,test_a02
4,5,t7-20221222-2237_jpg.rf.2f05099930502f3a9e7670d5cc9221be,s1,test_a02
2,3,t7-20221222-2307_jpg.rf.be415357089fc66a404994cb95aefe59,s1,test_a02
4,7,t7-20221222-2337_jpg.rf.ff92b9ec5411a51cd49a0a588d0e75e6,s1,test_a02
2,3,t7-20221223-0007_jpg.rf.8280ceb9f2dc8d2bf59f27faf1c24d8b,s1,test_a02
1,3,t7-20221223-0037_jpg.rf.ab329538d81d482cd4f70a8e3ab7ff48,s1,test_a02
4,6,t7-20221223-0107_jpg.rf.10ace3b89c1fa04e3c817ba9620ba5c1,s1,test_a02
3,5,t7-20221223-0137_jpg.rf.35c4d9d1281b8e72b17e534ef16c37e7,s1,test_a02
2,3,t7-20221223-0207_jpg.rf.2cfa23ab245248cb5076e4b34456ba86,s1,test_a02
8,10,t7-20221223-0237_jpg.rf.7f33d9d4bcd0e3d82173564efd7da193,s1,test_a02
1,3,t7-20221223-0307_jpg.rf.872c0bb16f3927371ec7ef93477b8801,s1,test_a02
1,4,t7-20221223-0337_jpg.rf.06a47a8ddf734a6311257849a9ebe83a,s1,test_a02
1,3,t7-20221223-0407_jpg.rf.a4ba3d3db32a2f8c27dd5a9c98afa44d,s1,test_a02
1,3,t7-20221223-0437_jpg.rf.be3d3bcc89a6b1aaf3e10beab4935f19,s1,test_a02
2,4,t7-20221223-0507_jpg.rf.fd0bef533012795a8b7fa4d182d09df6,s1,test_a02
2,3,t7-20221223-0537_jpg.rf.83306568eae4019cfbfc682a880a53e2,s1,test_a02
3,4,t7-20221223-0607_jpg.rf.58dd844cab3b16c3e49660dcd584d645,s1,test_a02
2,4,t7-20221223-0637_jpg.rf.93a886b3d8ca34440a7feb0816e4d49e,s1,test_a02
2,4,t7-20221223-0707_jpg.rf.2d85a1bc600511d5084f40d52c3b8e8d,s1,test_a02
2,3,t7-20221223-0737_jpg.rf.03c0f6b0f95136c6d69a9d6649756433,s1,test_a02
3,5,t7-20221223-0807_jpg.rf.23670c2c666c2a12e19634bf0059a7b4,s1,test_a02
3,3,t7-20221223-0837_jpg.rf.036a897a5b20fa30e59ec159a6ee64cf,s1,test_a02
3,4,t7-20221223-0907_jpg.rf.32df435f98417c8f0de85923e7e5039e,s1,test_a02
0,1,t7-20221223-0937_jpg.rf.3dff2be5f557a761d284f02ea0bc4598,s1,test_a02
2,2,t7-20221223-1007_jpg.rf.260319d9006038e4c387d0f633141219,s1,test_a02
3,5,t7-20221223-1037_jpg.rf.f6cc40148c7c6cd553b7db2cf04b00ac,s1,test_a02
3,4,t7-20221223-1107_jpg.rf.c9d56e834ac9bba2930b75f1e1bb3f3a,s1,test_a02
1,1,t7-20221223-1137_jpg.rf.28cbda2203cf9374ae77a022236fda10,s1,test_a02
1,3,t7-20221223-1207_jpg.rf.3f9c9eaef0c71385f98d0a65598ae5a7,s1,test_a02
5,7,t7-20221223-1237_jpg.rf.0dcd96bb9f88af81dbf1c65214a7a346,s1,test_a02
8,9,t7-20221223-1307_jpg.rf.9ff7bfe3bb2db28ca2b8823d5c0eccb8,s1,test_a02
2,3,t7-20221223-1337_jpg.rf.d149612f249a475ad69f82b257bdd45c,s1,test_a02
3,5,t7-20221223-1407_jpg.rf.ae81c30c6ac5ac07d175d4efddebe854,s1,test_a02
3,4,t7-20221223-1436_jpg.rf.01d831fc09f30fac4e4451991e4ce463,s1,test_a02
1,1,t7-20221223-1506_jpg.rf.41c6a87b0a25f8b3e501b7964ef48b3f,s1,test_a02
3,4,t7-20221223-1536_jpg.rf.b009d9d41faf8a7226eb5b392801683f,s1,test_a02
0,1,t7-20221223-1606_jpg.rf.978635355398243a2305f8b8922add44,s1,test_a02
1,2,t7-20221223-1636_jpg.rf.5085734067ee8a284bc550e04f98b450,s1,test_a02
2,3,t7-20221223-1706_jpg.rf.f0e8b4a1545ac9ee07a5d295050c9b91,s1,test_a02
5,5,t7-20221223-1736_jpg.rf.3e6a4701a6f5ef8fa977eeac7b4bb726,s1,test_a02
2,5,t7-20221223-1806_jpg.rf.65fc7fa1002923e9e34ba6b87a01e19d,s1,test_a02
0,1,t7-20221223-1836_jpg.rf.563b46809491b3117145e6249ba0b58b,s1,test_a02
3,4,t7-20221223-1906_jpg.rf.791297c075541bf894b161093434fe3b,s1,test_a02
3,4,t7-20221223-1936_jpg.rf.9cf2ab576b1539861af1d8cb3c7074ba,s1,test_a02
2,2,t7-20221223-2006_jpg.rf.a63274c8a4c41f83a8af9599a2a77780,s1,test_a02
2,2,t7-20221223-2036_jpg.rf.7bc9b3dde646672d0cdae9320790334d,s1,test_a02
2,3,t7-20221223-2106_jpg.rf.365d05b75ac64c8a9c77b0af5ab98749,s1,test_a02
2,3,t7-20221223-2136_jpg.rf.03edecf0087b30b94042341a7a6e92f8,s1,test_a02
2,3,t7-20221223-2206_jpg.rf.bf29d20f60779799c45612d76bb14c1c,s1,test_a02
4,4,t7-20221223-2236_jpg.rf.955e734be376b34ba21bbaacec1cffa1,s1,test_a02
7,7,t7-20221223-2306_jpg.rf.fb2b9a5566cde3ed4f990017719b4d1c,s1,test_a02
2,2,t7-20221223-2336_jpg.rf.017a9108a593438c1f3230afa3af197e,s1,test_a02
4,5,t7-20221224-0006_jpg.rf.f2cebf1bc96788c4699e570333d0c515,s1,test_a02
2,3,t7-20221224-0036_jpg.rf.d66643cd5288616c34862b5d223be16b,s1,test_a02
3,4,t7-20221224-0106_jpg.rf.707ddbc676f43469dd93b5d5fbbcfb60,s1,test_a02
5,6,t7-20221224-0136_jpg.rf.557a38a5cb91e9904833c3e3021789a6,s1,test_a02
2,4,t7-20221224-0206_jpg.rf.e4ef5809d1bff9018417aa45fc25a639,s1,test_a02
6,7,t7-20221224-0236_jpg.rf.d40692c3c5ef301c45f03504da4a406b,s1,test_a02
8,10,t7-20221224-0306_jpg.rf.d8ed64e0ee7423297fbd3ecf111ff766,s1,test_a02
4,5,t7-20221224-0336_jpg.rf.9c086063711060ff2cef184215a1e3b0,s1,test_a02
4,5,t7-20221224-0406_jpg.rf.a2655cbb33691eed73824d6b0d08c644,s1,test_a02
3,3,t7-20221224-0436_jpg.rf.83a1d01eba1c24826a5f196c8e05bd00,s1,test_a02
2,2,t7-20221224-0506_jpg.rf.60a89f936b464a572733c1b6243d006a,s1,test_a02
4,5,t7-20221224-0536_jpg.rf.f5c45394123297372a548c4fdeb9b494,s1,test_a02
2,3,t7-20221224-0606_jpg.rf.d5fa6905a11d887664f48fddeb90e614,s1,test_a02
1,1,t7-20221224-0636_jpg.rf.0927c226b0a12a821a773068bb27a157,s1,test_a02
3,3,t7-20221224-0706_jpg.rf.988bc24ce0db23352c1e464e35ac222e,s1,test_a02
5,6,t7-20221224-0736_jpg.rf.7d1c96248ba2794282a97aab4d3f9686,s1,test_a02
4,4,t7-20221224-0806_jpg.rf.f6be0030bf70c3b5c9f5221c14185463,s1,test_a02
2,2,t7-20221224-0836_jpg.rf.74259646ea2d2c531e06ac4c42e7bbc1,s1,test_a02
2,2,t7-20221224-0906_jpg.rf.284c892b11f46d8d71835296938facc9,s1,test_a02
1,2,t7-20221224-0936_jpg.rf.1844f00a3e5a6b3daf730132580ad7be,s1,test_a02
2,3,t7-20221224-1006_jpg.rf.3b9285890381c4a411f6b6f5b4679d0b,s1,test_a02
5,6,t7-20221224-1036_jpg.rf.c932ebb59ccc54f9d1aaa8503f03736f,s1,test_a02
3,4,t7-20221224-1106_jpg.rf.a5b37289a877fbe17e1eceda9c4aa72a,s1,test_a02
4,4,t7-20221224-1136_jpg.rf.9851446a3ca1d1c876707296a91b2402,s1,test_a02
2,6,t7-20221224-1206_jpg.rf.5cd08ee380a3c50822ac2300cbd74c3f,s1,test_a02
3,3,t7-20221224-1236_jpg.rf.1b91951fce54efe24f350fbb786ca0ac,s1,test_a02
5,7,t7-20221224-1306_jpg.rf.0a7048bc723c8bd0d1b5e01629b171a3,s1,test_a02
4,4,t7-20221224-1336_jpg.rf.93deec9f07bb38b46e5a27e0852857d0,s1,test_a02
3,8,t7-20221224-1406_jpg.rf.eb49298bd10de19d61083312b57876d6,s1,test_a02
4,4,t7-20221224-1436_jpg.rf.c70a5aa6be1e376badf1c5552e5d9379,s1,test_a02
4,4,t7-20221224-1506_jpg.rf.4af92036a902b922980b839c9d52472b,s1,test_a02
6,10,t7-20221224-1536_jpg.rf.de0f969b7c53af59f9cf39e3352663fc,s1,test_a02
6,6,t7-20221224-1606_jpg.rf.fe801c448e7738394d86e2a36c918ce8,s1,test_a02
6,8,t7-20221224-1636_jpg.rf.6ccd238ee8049a0c40935a6215cf26f1,s1,test_a02
4,5,t7-20221224-1706_jpg.rf.e5eb80086fbe6553adf494e5d9de7a0f,s1,test_a02
3,3,t7-20221224-1736_jpg.rf.aa4d58b8677ba1e99267052996ae75d6,s1,test_a02
5,6,t7-20221224-1806_jpg.rf.3350a4e9ac6674368671705f9264d93e,s1,test_a02
3,3,t7-20221224-1836_jpg.rf.cb3dc120f9c9f6d614053037ee6af174,s1,test_a02
6,9,t7-20221224-1906_jpg.rf.43088b265452ae44fa954172c97bfdd8,s1,test_a02
5,7,t7-20221224-1936_jpg.rf.86d98946f6df2a27260f62d4b9d9212b,s1,test_a02
5,8,t7-20221224-2006_jpg.rf.27fd20e74baff2baabe8ad6b2ec32501,s1,test_a02
4,6,t7-20221224-2036_jpg.rf.7865749b557ad432f0f60db2dc07752c,s1,test_a02
4,6,t7-20221224-2106_jpg.rf.1380bd13ca50fdcdeeade88bfa5161d2,s1,test_a02
4,5,t7-20221224-2136_jpg.rf.52e566912b873c6f458a44b8e4e31026,s1,test_a02
5,7,t7-20221224-2206_jpg.rf.abfdfb2e94886bb3880cab4c997fd414,s1,test_a02
5,6,t7-20221224-2236_jpg.rf.c4e71625c51740078a5c8368a66ff669,s1,test_a02
9,11,t7-20221224-2306_jpg.rf.5056a9845122a464c4b6eb146b732a30,s1,test_a02
4,6,t7-20221224-2336_jpg.rf.daf7380ae2696e6672415b243c701547,s1,test_a02
4,6,t7-20221225-0006_jpg.rf.d5f333dd8af1c12cc4cd09e85ca3c9cc,s1,test_a02
6,7,t7-20221225-0036_jpg.rf.50186009071d3e9624497c25ad45e194,s1,test_a02
2,2,t7-20221225-0106_jpg.rf.137089f88a07b1c227ede6edd2e689c9,s1,test_a02
4,9,t7-20221225-0136_jpg.rf.c2b3e3182e2e4d7d1bf81a29ea83bf19,s1,test_a02
5,7,t7-20221225-0206_jpg.rf.f38cebc727938e661af95b351448eb41,s1,test_a02
2,4,t7-20221225-0236_jpg.rf.40d4689a3cebaf8c7a5accad8dba1bb0,s1,test_a02
4,6,t7-20221225-0306_jpg.rf.306bbe25cc785fe6c12702415602921c,s1,test_a02
2,4,t7-20221225-0336_jpg.rf.9429ccb92f2e034c575d41829a87c5b8,s1,test_a02
5,8,t7-20221225-0406_jpg.rf.58367a70a374e997f93b2b2c3703b659,s1,test_a02
2,3,t7-20221225-0436_jpg.rf.8f17aa1cb93f2ea6b38434dc8c01a033,s1,test_a02
9,9,t7-20221225-0506_jpg.rf.741e014a9bba311ca60b8a867db80b51,s1,test_a02
4,7,t7-20221225-0536_jpg.rf.866dd231c552170770fe2fca8ac2e99a,s1,test_a02
4,6,t7-20221225-0606_jpg.rf.4a7010c03eac722759bbd7ff33bfae30,s1,test_a02
2,3,t7-20221225-0636_jpg.rf.057a922d775eb7577e28d22232c86101,s1,test_a02
2,5,t7-20221225-0706_jpg.rf.53f522e47466b79046be348b5809c18e,s1,test_a02
7,13,t7-20221225-0736_jpg.rf.c5d39b9c8c8ca91ac26fe4f2cfcc0311,s1,test_a02
6,7,t7-20221225-0806_jpg.rf.1fc1a6d9d7ce407b5b2c684f4d05213f,s1,test_a02
4,6,t7-20221225-0836_jpg.rf.6459df7a8824ae80d7d5233c3008d607,s1,test_a02
1,2,t7-20221225-0906_jpg.rf.7f903f47d2eee857c274e232c10d1924,s1,test_a02
4,7,t7-20221225-0936_jpg.rf.86a7184c6cd7512d1eef638153f90339,s1,test_a02
3,6,t7-20221225-1006_jpg.rf.26f474cb1d4dedbd7f66cc5dc5feca3d,s1,test_a02
3,4,t7-20221225-1036_jpg.rf.1ed40a35261acf0626aa898099927527,s1,test_a02
4,7,t7-20221225-1106_jpg.rf.7d0ee03aa01c11d26be49cc3999fc105,s1,test_a02
4,6,t7-20221225-1136_jpg.rf.dbd9477f4dc756eda121a3949633db65,s1,test_a02
0,2,t7-20221225-1206_jpg.rf.13251eb21e0a729a65eae386728d3d54,s1,test_a02
1,2,t7-20221225-1236_jpg.rf.d89d839cb8121d989aa46958d84e414e,s1,test_a02
1,5,t7-20221225-1306_jpg.rf.3e432fab57c92958fbaa5a078333a65f,s1,test_a02
0,3,t7-20221225-1336_jpg.rf.71395c80644c93a190da41078a9fd094,s1,test_a02
1,5,t7-20221225-1406_jpg.rf.7a8146ac0c87da796d741a8c13ff31f3,s1,test_a02
6,8,t7-20221225-1436_jpg.rf.0339c30595b5a329feb3e267ca154183,s1,test_a02
3,5,t7-20221225-1506_jpg.rf.d0ee3e6de95e89d542fb4564552bd701,s1,test_a02
1,3,t7-20221225-1536_jpg.rf.6549183a0aa2e0d8f31c1392c6c62018,s1,test_a02
2,4,t7-20221225-1606_jpg.rf.b23707cfa663a7501a469c0630fd6895,s1,test_a02
0,2,t7-20221225-1636_jpg.rf.66890f4b6e92fb7b4f9d8723145767f8,s1,test_a02
5,7,t7-20221225-1706_jpg.rf.0ddde9b5471d255742d2dd8877155337,s1,test_a02
3,4,t7-20221225-1736_jpg.rf.1dd23b43e10f041e5732c94bd5aba0fe,s1,test_a02
2,4,t7-20221225-1806_jpg.rf.57383f80643fc85044b31b8d6e27620b,s1,test_a02
2,5,t7-20221225-1836_jpg.rf.4655ae2f991749d0026851a5e0f595fd,s1,test_a02
12,15,t7-20221225-1906_jpg.rf.718f383e7e708076f146d8deac3289f4,s1,test_a02
7,14,t7-20221225-1936_jpg.rf.00def953e92938f40790f0404e1b50ce,s1,test_a02
7,10,t7-20221225-2006_jpg.rf.9e664afe3bf64b647b630b6c1159a27c,s1,test_a02
6,8,t7-20221225-2036_jpg.rf.e590175b4299b58279424dfb4f8849bf,s1,test_a02
10,13,t7-20221225-2106_jpg.rf.a2515cd34b85c9eb8c9e378ba6483930,s1,test_a02
